srcStateName,srcDistrictName,TRU,Country,StateCode,StateName,DistrictCode,DistrictName,TotalPopulation,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea,srcYear,YearCode,Year
Chhattisgarh,Korea,Rural,India,22,CHHATTISGARH,384,KOREA,221932,,,111731,,,110201,,,52725,,,,,93529.71875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,Korea,Total,India,22,CHHATTISGARH,384,KOREA,427231,205299,221932,218130,106399,111731,209101,98900,110201,97806,45081,52725,21405,93529.72,114934.71875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,Korea,Urban,India,22,CHHATTISGARH,384,KOREA,205299,,,106399,,,98900,,,45081,,,,,21405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,Mahasamund,Rural,India,22,CHHATTISGARH,385,MAHASAMUND,912663,,,451732,,,460931,,,221567,,,,,382215.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,Mahasamund,Total,India,22,CHHATTISGARH,385,MAHASAMUND,1032815,120152,912663,512008,60276,451732,520807,59876,460931,248593,27026,221567,5932,382215.94,125.19000244140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,Mahasamund,Urban,India,22,CHHATTISGARH,385,MAHASAMUND,120152,,,60276,,,59876,,,27026,,,,,5932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,Narayanpur,Rural,India,22,CHHATTISGARH,637,NARAYANPUR,117957,,,58763,,,59194,,,23113,,,,,293.58001708984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,Narayanpur,Total,India,22,CHHATTISGARH,637,NARAYANPUR,140063,22106,117957,70214,11451,58763,69849,10655,59194,28027,4914,23113,2039.9999999999998,293.58002,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,Narayanpur,Urban,India,22,CHHATTISGARH,637,NARAYANPUR,22106,,,11451,,,10655,,,4914,,,,,2039.9999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,Raigarh,Rural,India,22,CHHATTISGARH,386,RAIGARH,894801,,,447620,,,447181,,,221010,,,,,397333.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,Raigarh,Total,India,22,CHHATTISGARH,386,RAIGARH,1141103,246302,894801,574081,126461,447620,567022,119841,447181,276172,55162,221010,11950,397333.62,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,Raigarh,Urban,India,22,CHHATTISGARH,386,RAIGARH,246302,,,126461,,,119841,,,55162,,,,,11950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,Raipur,Rural,India,22,CHHATTISGARH,387,RAIPUR,886428,,,445878,,,440550,,,180717,,,,,254548.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,Raipur,Total,India,22,CHHATTISGARH,387,RAIPUR,2163080,1276652,886428,1101942,656064,445878,1061138,620588,440550,453007,272290,180717,33515,254548.94,288063.9318847656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,Raipur,Urban,India,22,CHHATTISGARH,387,RAIPUR,1276652,,,656064,,,620588,,,272290,,,,,33515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,Rajnandgaon,Rural,India,22,CHHATTISGARH,388,RAJNANDGAON,665054,,,329875,,,335179,,,135404,,,,,259697.421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,Rajnandgaon,Total,India,22,CHHATTISGARH,388,RAJNANDGAON,937566,272512,665054,466518,136643,329875,471048,135869,335179,195204,59800,135404,15934,259697.42,275631.421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,Rajnandgaon,Urban,India,22,CHHATTISGARH,388,RAJNANDGAON,272512,,,136643,,,135869,,,59800,,,,,15934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,Surguja,Rural,India,22,CHHATTISGARH,389,SURGUJA,709242,,,356715,,,352527,,,162661,,,,,417481.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,Surguja,Total,India,22,CHHATTISGARH,389,SURGUJA,845944,136702,709242,427372,70657,356715,418572,66045,352527,190057,27396,162661,5520,417481.62,190.86000061035156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,Surguja,Urban,India,22,CHHATTISGARH,389,SURGUJA,136702,,,70657,,,66045,,,27396,,,,,5520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,Uttar Bastar Kanker,Rural,India,22,CHHATTISGARH,381,UTTAR BASTAR KANKER,670780,,,334450,,,336330,,,142869,,,,,468728.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,Uttar Bastar Kanker,Total,India,22,CHHATTISGARH,381,UTTAR BASTAR KANKER,747541,76761,670780,372639,38189,334450,374902,38572,336330,160667,17798,142869,6327,468728.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,Uttar Bastar Kanker,Urban,India,22,CHHATTISGARH,381,UTTAR BASTAR KANKER,76761,,,38189,,,38572,,,17798,,,,,6327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Daman & Diu,Daman,Rural,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,463,DAMAN,32313,,,18367,,,13946,,,7413,,,,,2161.679931640625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Daman & Diu,Daman,Total,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,463,DAMAN,191173,158860,32313,124659,106292,18367,66514,52568,13946,50376,42963,7413,3686,2161.68,5847.679931640625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Daman & Diu,Daman,Urban,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,463,DAMAN,158860,,,106292,,,52568,,,42963,,,,,3686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Daman & Diu,Diu,Rural,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,464,DIU,28083,,,14028,,,14055,,,5331,,,,,2684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Daman & Diu,Diu,Total,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,464,DIU,52074,23991,28083,25642,11614,14028,26432,12377,14055,10580,5249,5331,1166,2684,3850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Daman & Diu,Diu,Urban,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,464,DIU,23991,,,11614,,,12377,,,5249,,,,,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Delhi,Central,Rural,India,7,DELHI,77,CENTRAL,17746,,,9546,,,8200,,,3312,,,,,698.5999755859375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Delhi,Central,Total,India,7,DELHI,77,CENTRAL,866464,848718,17746,459988,450442,9546,406476,398276,8200,174597,171285,3312,1763,698.6,2461.5999755859375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Delhi,Central,Urban,India,7,DELHI,77,CENTRAL,848718,,,450442,,,398276,,,171285,,,,,1763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Delhi,East,Rural,India,7,DELHI,78,EAST,3530,,,1861,,,1669,,,875,,,,,26.700000762939453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Delhi,East,Total,India,7,DELHI,78,EAST,,,3530,,,1861,,,1669,,,875,1239.5,26.7,1266.2000007629395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Delhi,East,Urban,India,7,DELHI,78,EAST,,,,,,,,,,,,,,,1239.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Delhi,New Delhi,Rural,India,7,DELHI,79,NEW DELHI,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Delhi,New Delhi,Total,India,7,DELHI,79,NEW DELHI,332341,332341,0,191684,191684,0,140657,140657,0,80961,80961,0,2964.6,0,2964.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Delhi,New Delhi,Urban,India,7,DELHI,79,NEW DELHI,332341,,,191684,,,140657,,,80961,,,,,2964.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Delhi,North,Rural,India,7,DELHI,80,NORTH,168739,,,91524,,,77215,,,32136,,,,,12010.3994140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Delhi,North,Total,India,7,DELHI,80,NORTH,1346500,1177761,168739,726385,634861,91524,620115,542900,77215,268135,235999,32136,12345,12010.399,24355.3994140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Delhi,North,Urban,India,7,DELHI,80,NORTH,1177761,,,634861,,,542900,,,235999,,,,,12345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Delhi,North East,Rural,India,7,DELHI,81,NORTH EAST,21527,,,11718,,,9809,,,3938,,,,,1377.699951171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Delhi,North East,Total,India,7,DELHI,81,NORTH EAST,,,21527,,,11718,,,9809,,,3938,1523.3,1377.7,2900.999951171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Delhi,North East,Urban,India,7,DELHI,81,NORTH EAST,,,,,,,,,,,,,,,1523.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Delhi,North West,Rural,India,7,DELHI,82,NORTH WEST,45211,,,24156,,,21055,,,8364,,,,,4488.599609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Delhi,North West,Total,India,7,DELHI,82,NORTH WEST,2910982,2865771,45211,1555829,1531673,24156,1355153,1334098,21055,592469,584105,8364,6469.6,4488.5996,10958.199609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Delhi,North West,Urban,India,7,DELHI,82,NORTH WEST,2865771,,,1531673,,,1334098,,,584105,,,,,6469.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Delhi,South,Rural,India,7,DELHI,83,SOUTH,12193,,,6819,,,5374,,,2457,,,,,1315.4200439453125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Delhi,South,Total,India,7,DELHI,83,SOUTH,,,12193,,,6819,,,5374,,,2457,10009.2,1315.42,11324.620043945313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Delhi,South,Urban,India,7,DELHI,83,SOUTH,,,,,,,,,,,,,,,10009.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Delhi,South West,Rural,India,7,DELHI,84,SOUTH WEST,143676,,,77342,,,66334,,,27322,,,,,15017.1005859375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Delhi,South West,Total,India,7,DELHI,84,SOUTH WEST,2105512,1961836,143676,1133847,1056505,77342,971665,905331,66334,447421,420099,27322,5575.7,15017.101,20592.8005859375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Delhi,South West,Urban,India,7,DELHI,84,SOUTH WEST,1961836,,,1056505,,,905331,,,420099,,,,,5575.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Delhi,West,Rural,India,7,DELHI,85,WEST,6420,,,3355,,,3065,,,1170,,,,,685.5799560546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Delhi,West,Total,India,7,DELHI,85,WEST,2543243,2536823,6420,1356240,1352885,3355,1187003,1183938,3065,533221,532051,1170,6063.8,685.57996,6749.379956054688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Delhi,West,Urban,India,7,DELHI,85,WEST,2536823,,,1352885,,,1183938,,,532051,,,,,6063.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Goa,North Goa,Rural,India,30,GOA,551,NORTH GOA,262748,,,132429,,,130319,,,60568,,,,,107347.578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Goa,North Goa,Total,India,30,GOA,551,NORTH GOA,652178,389430,262748,331185,198756,132429,320993,190674,130319,153417,92849,60568,36978,107347.58,144325.578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Goa,North Goa,Urban,India,30,GOA,551,NORTH GOA,389430,,,198756,,,190674,,,92849,,,,,36978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Goa,South Goa,Rural,India,30,GOA,552,SOUTH GOA,288983,,,143007,,,145976,,,67640,,,,,185002.53125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Goa,South Goa,Total,India,30,GOA,552,SOUTH GOA,806367,517384,288983,407955,264948,143007,398412,252436,145976,190194,122554,67640,40876,185002.53,225878.53125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Goa,South Goa,Urban,India,30,GOA,552,SOUTH GOA,517384,,,264948,,,252436,,,122554,,,,,40876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Gujarat,Ahmadabad,Rural,India,24,GUJARAT,438,AHMADABAD,1030904,,,533782,,,497122,,,206575,,,,,636491.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Gujarat,Ahmadabad,Total,India,24,GUJARAT,438,AHMADABAD,7059056,6028152,1030904,3708196,3174414,533782,3350860,2853738,497122,1481600,1275025,206575,81492,636491.1,717983.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
Gujarat,Ahmadabad,Urban,India,24,GUJARAT,438,AHMADABAD,6028152,,,3174414,,,2853738,,,1275025,,,,,81492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-16,2015,"Financial Year (Apr - Mar), 2015"
